City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,labytnangi,66.6572,66.4183,-15.39,100,89,3.18,RU,1706545906
321,mbake,14.7903,-15.908,76.78,6,75,12.48,SN,1706545906
322,mahenge,-8.6833,36.7167,66.47,97,100,2.53,TZ,1706545906
323,kudahuvadhoo,2.6708,72.8944,81.59,80,20,15.77,MV,1706545907
324,galveston,29.3669,-94.9669,61.0,63,0,3.44,US,1706545907
325,al jawf,29.5,38.75,54.55,43,1,7.4,SA,1706545907
326,glace bay,46.1969,-59.957,30.97,95,100,21.85,CA,1706545907
327,ivdel',60.6911,60.4206,2.19,99,56,1.99,RU,1706545907
328,port lavaca,28.615,-96.6261,62.31,76,0,0.0,US,1706545681
329,chernolesskoye,44.7156,43.7133,25.56,93,100,2.82,RU,1706545908
330,badger,64.8,-147.5333,-10.88,64,100,0.0,US,1706545908
331,benguela,-12.5763,13.4055,82.4,71,6,8.14,AO,1706545908
332,gambela,8.25,34.5833,86.45,37,96,3.58,ET,1706545908
333,naberera,-4.2,36.9333,67.75,80,84,7.2,TZ,1706545908
334,sydney mines,46.2367,-60.2177,31.8,95,100,21.85,CA,1706545909
335,naze,28.3667,129.4833,58.12,62,54,5.84,JP,1706545909
336,ar rahad,12.7167,30.65,74.75,15,30,10.47,SD,1706545909
337,devonport,-41.1667,146.35,50.52,83,27,7.27,AU,1706545868
338,comodoro rivadavia,-45.8667,-67.5,75.06,25,0,12.66,AR,1706545909
339,altai,46.3722,96.2583,-2.43,60,0,2.57,MN,1706545909
340,rodolfo sanchez taboada,31.7167,-116.5667,60.1,51,47,5.01,MX,1706545909
341,nemuro,43.3236,145.575,29.88,84,16,5.7,JP,1706545910
342,stony plain,53.5334,-114.0021,38.52,80,40,4.61,CA,1706545910
343,katsuren-haebaru,26.3369,127.8719,64.09,60,100,4.61,JP,1706545910
344,glendive,47.1053,-104.7125,42.42,81,0,4.61,US,1706545910
345,kendallville,41.4414,-85.265,33.08,94,100,8.05,US,1706545910
346,popondetta,-8.7537,148.2534,76.17,97,100,2.1,PG,1706545910
347,robore,-18.3333,-59.75,91.49,58,20,11.5,BO,1706545910
348,yeed,4.55,43.0333,91.36,26,67,9.48,SO,1706545910
349,forster,-32.1667,152.5167,75.29,93,20,9.55,AU,1706545911
350,atafu village,-8.5421,-172.5159,83.14,74,99,3.89,TK,1706545911
351,kenora,49.8167,-94.4337,27.57,93,100,5.75,CA,1706545879
352,pindiga,9.9833,10.9333,87.1,15,0,7.65,NG,1706545911
353,pekanbaru,0.5333,101.45,79.12,89,20,0.0,ID,1706545911
354,mirny,62.5353,113.9611,-37.14,100,48,3.49,RU,1706545911
355,fort saskatchewan,53.7168,-113.2187,39.78,74,100,9.22,CA,1706545835
356,nahrin,36.0649,69.1334,39.97,94,99,1.45,AF,1706545911
357,luderitz,-26.6481,15.1594,70.65,63,59,11.77,NA,1706545912
358,fort st. john,56.2499,-120.8529,37.29,70,75,10.36,CA,1706545388
359,hovd,48.0056,91.6419,-6.41,92,9,1.05,MN,1706545912
360,smirnovo,54.5125,69.4222,3.74,98,91,6.91,KZ,1706545912
361,san antonio de pale,-1.4014,5.6325,82.76,78,61,10.98,GQ,1706545912
362,roma,43.2128,-75.4557,33.12,88,100,10.36,US,1706545912
363,sao gotardo,-19.3111,-46.0489,83.62,39,7,8.16,BR,1706545912
